canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Cheer Pack North America, LLC","workplace","","","","","https://www.cheerpack.com/","508-927-7800","","","West Bridgewater","MA","","","","","","","","website;public_phone","https://www.cheerpack.com/contact-us","Cheer Pack North America","Contact Us - Cheer Pack North America","2026-08-17","","4","contact_page","manual:cheer-pack:contact:2026-08-17","manual","verified"
"Schumacher Companies","workplace","","","","","https://schumachercompanies.com/","508-427-7707","info@schumachercompanies.com","","West Bridgewater","MA","","","","","","","","website;public_phone;public_email","https://schumachercompanies.com/contact/","Schumacher Companies","Contact - Schumacher Companies","2026-08-17","","4","contact_page","manual:schumacher:contact:2026-08-17","manual","verified"
"Discovery Village Quincy","workplace","","","","","https://discoveryvillagequincybay.seniorlivingnearme.com/","617-472-4457","","","Quincy","MA","","","","","","","","website;public_phone","https://discoveryvillagequincybay.seniorlivingnearme.com/contact-us","Discovery Village Quincy Bay","Contact Discovery Village Quincy Bay","2026-08-17","","4","contact_page","manual:discovery-quincy:contact:2026-08-17","manual","verified"
"SONEPAR DISTRIBUTION NEW ENGLAND INC-001015_US_S0513 63400030-001015_US_S0513","workplace","","","","","","781-401-8500","","","Brockton","MA","","","","","","","","public_phone","https://safer.fmcsa.dot.gov/query.asp?original_query_param=NAME&original_query_string=NORTHEAST+ELECTRICAL+DISTRIBUTORS&query_param=USDOT&query_string=387421&query_type=queryCarrierSnapshot&searchtype=ANY","Federal Motor Carrier Safety Administration","Company Snapshot - Northeast Electrical Distributors","2026-08-17","","5","license","manual:fmcsa:usdot-387421:2026-08-17","manual","verified"
"SONEPAR DISTRIBUTION NEW ENGLAND INC-001015_US_S0513 63400030-001015_US_S0513","workplace","","","","","https://www.needco.com/","","","","Brockton","MA","","","","","","","","website","https://www.commbuys.com/bso/external/vendor/vendorProfileAddressInfo.sda?external=true&vendorId=211975","Commonwealth of Massachusetts COMMBUYS","Vendor Profile - Sonepar Distribution New England","2026-08-17","","5","public_contract","manual:commbuys:vendor-211975:2026-08-17","manual","verified"
"Concord Foods","workplace","","","","","https://www.concordfoods.com/","508-580-1700","","","Brockton","MA","","","","","","","","website;public_phone","https://www.concordfoods.com/careers/","Concord Foods","Careers - Concord Foods","2026-08-17","","4","official_organization_page","manual:concord-foods:careers:2026-08-17","manual","verified"
"T3 EXPO LLC LAKEVILLE MA","workplace","","","","","https://www.t3expo.com/","888-698-3397","","","Lakeville","MA","","","","","","","","website;public_phone","https://www.t3expo.com/get-in-touch","T3 Expo","Get in Touch - T3 Expo","2026-08-17","","4","contact_page","manual:t3-expo:contact:2026-08-17","manual","verified"
"Dellbrook Construction, LLC","workplace","","","","","https://www.dellbrookjks.com/","781-380-1675","info@dellbrook.com","","Quincy","MA","","","","","","","","website;public_phone;public_email","https://www.dellbrookjks.com/contact/","Dellbrook","Contact - Dellbrook","2026-08-17","","4","contact_page","manual:dellbrook:contact:2026-08-17","manual","verified"
"EG Sawyer Co., Inc.","workplace","","","","","https://www.egsawyer.com/","","","","Weymouth","MA","","","","","","","","website","https://www.egsawyer.com/contact-us/","Edward G. Sawyer Co.","Contact Us - Edward G. Sawyer Co.","2026-08-17","","4","contact_page","manual:eg-sawyer:contact:2026-08-17","manual","verified"
"EG Sawyer Co., Inc.","workplace","","","","","","781-340-1400","","","Weymouth","MA","","","","","","","","public_phone","https://netaworldjournal.org/2026/05/netaworldstaff/neta-news/edward-g-sawyer-co-achieves-qemc-certification/","NETAWORLD Journal","Edward G. Sawyer Co. Achieves NETA QEMC Recognition","2026-08-17","2026-05-01","3","official_organization_page","manual:neta:eg-sawyer-qemc:2026-08-17","manual","verified"
