canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
2603 BRIDGEWATER,workplace,"","","","",https://www.homedepot.com/l/Bridgewater/MA/Bridgewater/02324/2603,508-697-0327,"","",Bridgewater,MA,"","","","","","","",website;public_phone,https://www.homedepot.com/l/Bridgewater/MA/Bridgewater/02324/2603,The Home Depot,Bridgewater Home Depot Store #2603,2026-08-17,"",4,contact_page,manual:round4:2603-bridgewater:001:2026-08-17,manual,verified
2611 BROCKTON,workplace,"","","","",https://www.homedepot.com/l/Brockton/MA/Brockton/02302/2611,508-427-9970,"","",Brockton,MA,"","","","","","","",website;public_phone,https://www.homedepot.com/l/Brockton/MA/Brockton/02302/2611,The Home Depot,Brockton Home Depot Store #2611,2026-08-17,"",4,contact_page,manual:round4:2611-brockton:002:2026-08-17,manual,verified
2677 TAUNTON,workplace,"","","","",https://www.homedepot.com/l/Taunton/MA/Taunton/02780/2677,508-823-0960,"","",Taunton,MA,"","","","","","","",website;public_phone,https://www.homedepot.com/l/Taunton/MA/Taunton/02780/2677,The Home Depot,Taunton Home Depot Store #2677,2026-08-17,"",4,contact_page,manual:round4:2677-taunton:003:2026-08-17,manual,verified
2650 ROCKLAND,workplace,"","","","",https://www.homedepot.com/l/Rockland/MA/Rockland/02370/2650,781-871-6200,"","",Rockland,MA,"","","","","","","",website;public_phone,https://www.homedepot.com/l/Rockland/MA/Rockland/02370/2650,The Home Depot,Rockland Home Depot Store #2650,2026-08-17,"",4,contact_page,manual:round4:2650-rockland:004:2026-08-17,manual,verified
2609 MANSFIELD,workplace,"","","","",https://www.homedepot.com/l/Mansfield/MA/Mansfield/02048/2609,508-337-2050,"","",Mansfield,MA,"","","","","","","",website;public_phone,https://www.homedepot.com/l/Mansfield/MA/Mansfield/02048/2609,The Home Depot,Mansfield Home Depot Store #2609,2026-08-17,"",4,contact_page,manual:round4:2609-mansfield:005:2026-08-17,manual,verified
2670 QUINCY,workplace,"","","","",https://www.homedepot.com/l/Quincy/MA/Quincy/02169/2670,617-376-0380,"","",Quincy,MA,"","","","","","","",website;public_phone,https://www.homedepot.com/l/Quincy/MA/Quincy/02169/2670,The Home Depot,Quincy Home Depot Store #2670,2026-08-17,"",4,contact_page,manual:round4:2670-quincy:006:2026-08-17,manual,verified
2173 - Abington,workplace,"","","","",https://www.target.com/sl/abington/2173,781-347-9003,"","",Abington,MA,"","","","","","","",website;public_phone,https://www.target.com/sl/abington/2173,Target,Target Abington Store 2173,2026-08-17,"",4,contact_page,manual:round4:2173-abington:007:2026-08-17,manual,verified
2267 - Easton,workplace,"","","","",https://www.target.com/sl/easton/2267,508-230-0005,"","",South Easton,MA,"","","","","","","",website;public_phone,https://www.target.com/sl/easton/2267,Target,Target Easton Store 2267,2026-08-17,"",4,contact_page,manual:round4:2267-easton:008:2026-08-17,manual,verified
2693 - Braintree,workplace,"","","","",https://www.target.com/sl/braintree/2693,781-817-8809,"","",Braintree,MA,"","","","","","","",website;public_phone,https://www.target.com/sl/braintree/2693,Target,Target Braintree Store 2693,2026-08-17,"",4,contact_page,manual:round4:2693-braintree:009:2026-08-17,manual,verified
04163 STORE 04163,workplace,"","","","",https://locations.dollartree.com/ma/brockton/999-n-montello-st,508-894-7206,"","",Brockton,MA,"","","","","","","",website;public_phone,https://locations.dollartree.com/ma/brockton/999-n-montello-st,Dollar Tree,Dollar Tree at 999 N Montello St,2026-08-17,"",4,contact_page,manual:round4:04163-store-04163:010:2026-08-17,manual,verified
04793 STORE 04793,workplace,"","","","",https://locations.dollartree.com/ma/brockton/683-belmont-street,508-894-7865,"","",Brockton,MA,"","","","","","","",website;public_phone,https://locations.dollartree.com/ma/brockton/683-belmont-street,Dollar Tree,Dollar Tree at 683 Belmont Street,2026-08-17,"",4,contact_page,manual:round4:04793-store-04793:011:2026-08-17,manual,verified
