organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Cheer Pack North America, LLC","","role_based","yes","General inquiries","","","","508-927-7800","https://www.cheerpack.com/contact-us","https://www.cheerpack.com/contact-us","Cheer Pack North America","Contact Us - Cheer Pack North America","2026-08-17","","4","contact_page","manual:cheer-pack:contact:2026-08-17","manual","verified"
"Schumacher Companies","","role_based","yes","General inquiries","","","info@schumachercompanies.com","508-427-7707","https://schumachercompanies.com/contact/","https://schumachercompanies.com/contact/","Schumacher Companies","Contact - Schumacher Companies","2026-08-17","","4","contact_page","manual:schumacher:contact:2026-08-17","manual","verified"
"Discovery Village Quincy","","role_based","yes","General inquiries","","","","617-472-4457","https://discoveryvillagequincybay.seniorlivingnearme.com/contact-us","https://discoveryvillagequincybay.seniorlivingnearme.com/contact-us","Discovery Village Quincy Bay","Contact Discovery Village Quincy Bay","2026-08-17","","4","contact_page","manual:discovery-quincy:contact:2026-08-17","manual","verified"
"SONEPAR DISTRIBUTION NEW ENGLAND INC-001015_US_S0513 63400030-001015_US_S0513","","role_based","yes","Brockton facility main line","","","","781-401-8500","","https://safer.fmcsa.dot.gov/query.asp?original_query_param=NAME&original_query_string=NORTHEAST+ELECTRICAL+DISTRIBUTORS&query_param=USDOT&query_string=387421&query_type=queryCarrierSnapshot&searchtype=ANY","Federal Motor Carrier Safety Administration","Company Snapshot - Northeast Electrical Distributors","2026-08-17","","5","license","manual:fmcsa:usdot-387421:2026-08-17","manual","verified"
"Concord Foods","","role_based","yes","Main office","","","","508-580-1700","https://www.concordfoods.com/careers/","https://www.concordfoods.com/careers/","Concord Foods","Careers - Concord Foods","2026-08-17","","4","official_organization_page","manual:concord-foods:careers:2026-08-17","manual","verified"
"T3 EXPO LLC LAKEVILLE MA","","role_based","yes","General inquiries","","","","888-698-3397","https://www.t3expo.com/get-in-touch","https://www.t3expo.com/get-in-touch","T3 Expo","Get in Touch - T3 Expo","2026-08-17","","4","contact_page","manual:t3-expo:contact:2026-08-17","manual","verified"
"Dellbrook Construction, LLC","","role_based","yes","General inquiries","","","info@dellbrook.com","781-380-1675","https://www.dellbrookjks.com/contact/","https://www.dellbrookjks.com/contact/","Dellbrook","Contact - Dellbrook","2026-08-17","","4","contact_page","manual:dellbrook:contact:2026-08-17","manual","verified"
"EG Sawyer Co., Inc.","","role_based","yes","Main office","","","","","https://www.egsawyer.com/contact-us/","https://www.egsawyer.com/contact-us/","Edward G. Sawyer Co.","Contact Us - Edward G. Sawyer Co.","2026-08-17","","4","contact_page","manual:eg-sawyer:contact:2026-08-17","manual","verified"
"EG Sawyer Co., Inc.","","role_based","yes","Main office","","","","781-340-1400","","https://netaworldjournal.org/2026/05/netaworldstaff/neta-news/edward-g-sawyer-co-achieves-qemc-certification/","NETAWORLD Journal","Edward G. Sawyer Co. Achieves NETA QEMC Recognition","2026-08-17","2026-05-01","3","official_organization_page","manual:neta:eg-sawyer-qemc:2026-08-17","manual","verified"
"Fuse Builds","","role_based","yes","Braintree office","","","","","https://www.libertybuilds.com/about","https://www.libertybuilds.com/about","Liberty Builds","About - Liberty Builds","2026-08-17","","4","official_organization_page","manual:liberty-builds:about:2026-08-17","manual","verified"
"Fuse Builds","","role_based","yes","Braintree office","","","","617-762-7976","","https://safer.fmcsa.dot.gov/query.asp?query_param=USDOT&query_string=1771957&query_type=queryCarrierSnapshot","Federal Motor Carrier Safety Administration","Company Snapshot - Fuse Builds LLC DBA Liberty Builds","2026-08-17","","5","license","manual:fmcsa:usdot-1771957:2026-08-17","manual","verified"
"Raw Seafoods, Inc.","","role_based","yes","General inquiries","","","info@rawseafoods.com","508-673-0111","https://rawseafoods.com/contact","https://rawseafoods.com/contact","Raw Seafoods","Contact - Raw Seafoods","2026-08-17","","4","contact_page","manual:raw-seafoods:contact:2026-08-17","manual","verified"
