organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"PLZ Corp Fall River","","role_based","yes","Corporate inquiries","","","","800-332-9000","https://www.plzcorp.com/contact-us/","https://www.plzcorp.com/contact-us/","PLZ Corp","Contact Us","2026-08-17","","4","contact_page","manual:round3:plz-corp-fall-river:001:2026-08-17","manual","verified"
"RW Bryant Contracting Inc.","","role_based","yes","General inquiries","","","rwbryantinc@rwbryant.com","508-747-8916","https://rwbryant.com/","https://rwbryant.com/","R.W. Bryant Contracting","R.W. Bryant Contracting","2026-08-17","","4","official_organization_page","manual:round3:rw-bryant-contracting-inc:002:2026-08-17","manual","verified"
"R. Zoppo Corp.","","role_based","yes","General inquiries","","","","781-344-8822","https://www.zoppo.com/contact","https://www.zoppo.com/contact","R. Zoppo Corporation","Contact","2026-08-17","","4","contact_page","manual:round3:r-zoppo-corp:003:2026-08-17","manual","verified"
"Steel Art Company","","role_based","yes","Corporate inquiries","","","","800-322-2828","https://static1.squarespace.com/static/5cc7248429f2cc08c4822ef8/t/6961246fe7e7fe55eb4a45b7/1767973999670/Post%26Panel_SellSheet.pdf","https://static1.squarespace.com/static/5cc7248429f2cc08c4822ef8/t/6961246fe7e7fe55eb4a45b7/1767973999670/Post%26Panel_SellSheet.pdf","Steel Art Company","Post & Panel Sell Sheet","2026-08-17","","4","official_organization_page","manual:round3:steel-art-company:004:2026-08-17","manual","verified"
"ABF Freight 189","","role_based","yes","Customer service","","","customerservice@arcb.com","800-610-5544","https://arcb.com/faq","https://arcb.com/faq","ArcBest","Frequently Asked Questions","2026-08-17","","4","contact_page","manual:round3:abf-freight-189:005:2026-08-17","manual","verified"
"Precast Specialties Corp","","role_based","yes","Facility main line","","","","781-878-7220","https://www.pci.org/PCINE/PCINE/About_PCINE/Producers/Precast_Specialties.aspx","https://www.pci.org/PCINE/PCINE/About_PCINE/Producers/Precast_Specialties.aspx","PCI Northeast","Precast Specialties","2026-08-17","","3","official_organization_page","manual:round3:precast-specialties-corp:006:2026-08-17","manual","verified"
"Graziano Redi-Mix, Inc.","","role_based","yes","Facility main line","","","","508-697-8350","https://content.boston.gov/sites/default/files/file/2025/03/Approved-Concrete-3-13-2025.pdf","https://content.boston.gov/sites/default/files/file/2025/03/Approved-Concrete-3-13-2025.pdf","City of Boston","Approved Concrete Suppliers","2026-08-17","2025-03-13","5","license","manual:round3:graziano-redi-mix-inc:007:2026-08-17","manual","verified"
"J.Derenzo Company","","role_based","yes","Main office","","","","508-427-6441","https://www.jderenzo.com/contact/","https://www.jderenzo.com/contact/","J. Derenzo Company","Contact","2026-08-17","","4","contact_page","manual:round3:j-derenzo-company:008:2026-08-17","manual","verified"
"Suncor Stainless, Inc. Plymouth","","role_based","yes","Sales inquiries","","","sales@suncorstainless.com","508-732-9191","https://suncorstainless.com/wp-content/uploads/2026/02/Marine-Products_4pg-Brochure_2025.pdf","https://suncorstainless.com/wp-content/uploads/2026/02/Marine-Products_4pg-Brochure_2025.pdf","Suncor Stainless","Stainless Steel Use in Saltwater & Marine Environments","2026-08-17","","4","official_organization_page","manual:round3:suncor-stainless-inc-plymouth:009:2026-08-17","manual","verified"
"Fine Landscaping & Maintenance, Corp.","","role_based","yes","General inquiries","","","info@finelandscaping.com","508-261-7770","https://www.finelandscaping.com/about/contact","https://www.finelandscaping.com/about/contact","Fine Landscaping & Maintenance","Contact","2026-08-17","","4","contact_page","manual:round3:fine-landscaping-maintenance-corp:010:2026-08-17","manual","verified"
"Temptronic DBA InTEST Thermal Solutions","","role_based","yes","Americas office","","","info@intestthermal.com","781-688-2300","https://www.intestthermal.com/blog/intest-thermal-solutions-is-hiring","https://www.intestthermal.com/blog/intest-thermal-solutions-is-hiring","inTEST Thermal Solutions","inTEST Thermal Solutions Is Hiring","2026-08-17","","4","official_organization_page","manual:round3:temptronic-dba-intest-thermal-solutions:011:2026-08-17","manual","verified"
"Electro Prep Inc","","role_based","yes","General inquiries","","","info@electroprep.com","800-478-4578","https://www.electroprep.com/wp-content/uploads/eBook-The-Ultimate-Guide-To-Electro-Mechanical-Assemblies-and-Box-Builds-1.pdf","https://www.electroprep.com/wp-content/uploads/eBook-The-Ultimate-Guide-To-Electro-Mechanical-Assemblies-and-Box-Builds-1.pdf","Electro-Prep","The Ultimate Guide to Electro-Mechanical Assemblies and Box Builds","2026-08-17","","4","official_organization_page","manual:round3:electro-prep-inc:012:2026-08-17","manual","verified"
"NEW ENGLAND ELECTROPOLISHING CO., INC.","","role_based","yes","Main office","","","","800-672-6616","https://neelectropolishing.com/contact/","https://neelectropolishing.com/contact/","New England Electropolishing","Contact","2026-08-17","","4","contact_page","manual:round3:new-england-electropolishing-co-inc:013:2026-08-17","manual","verified"
"Acorn Manufacturing","","role_based","yes","Order inquiries","","","orders1@acornmfg.com","508-339-4500","https://acornmfg.com/contact/","https://acornmfg.com/contact/","Acorn Manufacturing","Contact","2026-08-17","","4","contact_page","manual:round3:acorn-manufacturing:014:2026-08-17","manual","verified"
"NAX Electrical Services, LLC","","role_based","yes","Estimating","","","estimating@naxelectric.com","508-296-0552","https://naxelectric.com/","https://naxelectric.com/","NAX Electrical Services","NAX Electrical Services","2026-08-17","","4","official_organization_page","manual:round3:nax-electrical-services-llc:015:2026-08-17","manual","verified"
"Brite Lite Electrical Co Inc.","","role_based","yes","Main office","","","","781-340-9102","https://newbedford-ma.s3.amazonaws.com/wp-content/uploads/sites/25/20231201085244/24192059-BPZ-ANIMAL-AMBAS-BID-TAB-SHEET.pdf","https://newbedford-ma.s3.amazonaws.com/wp-content/uploads/sites/25/20231201085244/24192059-BPZ-ANIMAL-AMBAS-BID-TAB-SHEET.pdf","City of New Bedford","Bid Tabulation Sheet 24192059","2026-08-17","2023-12-01","5","public_contract","manual:round3:brite-lite-electrical-co-inc:016:2026-08-17","manual","verified"
"MANUFACTURING RESOURCE GROUP","","role_based","yes","General inquiries","","","","781-440-9700","https://www.mrg-inc.com/privacy-policy/","https://www.mrg-inc.com/privacy-policy/","Manufacturing Resource Group","Privacy Policy and Contact Information","2026-08-17","","4","official_organization_page","manual:round3:manufacturing-resource-group:017:2026-08-17","manual","verified"
"Absolute Metal Finishing","","role_based","yes","Quote requests","","","quotes@absolutemetal.com","781-551-8235","https://absolutemetal.com/contact-us/","https://absolutemetal.com/contact-us/","Absolute Metal Finishing","Contact Us","2026-08-17","","4","contact_page","manual:round3:absolute-metal-finishing:018:2026-08-17","manual","verified"
"Century Paving & Construction Corp.","","role_based","yes","General inquiries","","","info@centurypave.com","508-674-2000","https://www.centurypavingconstruction.com/contact-us","https://www.centurypavingconstruction.com/contact-us","Century Paving & Construction","Contact Us","2026-08-17","","4","contact_page","manual:round3:century-paving-construction-corp:019:2026-08-17","manual","verified"
"Source Code- MA","","role_based","yes","Norwood headquarters","","","","877-722-3478","https://sourcecode.com/company/contact-us/","https://sourcecode.com/company/contact-us/","Source Code","Contact Us","2026-08-17","","4","contact_page","manual:round3:source-code-ma:020:2026-08-17","manual","verified"
"Accutech Packaging, Inc. - Hampden Rd","","role_based","yes","General inquiries","","","","508-543-3800","https://accutechpkg.com/contact/","https://accutechpkg.com/contact/","Accutech Packaging","Contact","2026-08-17","","4","contact_page","manual:round3:accutech-packaging-inc-hampden-rd:021:2026-08-17","manual","verified"
"State Electric Corporation Braintree","","role_based","yes","Braintree office","","","","781-933-5255","https://stateelectriccorp.com/author/stateelectric/","https://stateelectriccorp.com/author/stateelectric/","State Electric Corporation","State Electric Corporation","2026-08-17","","4","official_organization_page","manual:round3:state-electric-corporation-braintree:022:2026-08-17","manual","verified"
"Gentex Corporation-Norwood","","role_based","yes","Customer service","","","","888-894-1755","https://www.gentexcorp.com/contact/","https://www.gentexcorp.com/contact/","Gentex Corporation","Contact","2026-08-17","","4","contact_page","manual:round3:gentex-corporation-norwood:023:2026-08-17","manual","verified"
"MA217 AMETEK PROGRAMMABLE POWER, INC. DBA UEI","","role_based","yes","General inquiries","","","uei.info@ametek.com","508-921-4600","https://www.ueidaq.com/company/contact","https://www.ueidaq.com/company/contact","United Electronic Industries","Contact","2026-08-17","","4","contact_page","manual:round3:ma217-ametek-programmable-power-inc-dba-uei:024:2026-08-17","manual","verified"
"North Coast Seafoods -New Bedford","","role_based","yes","Customer service","","","customerservice@northcoastseafoods.com","617-345-4444","https://www.northcoastseafoods.com/pages/contact","https://www.northcoastseafoods.com/pages/contact","North Coast Seafoods","Contact","2026-08-17","","4","contact_page","manual:round3:north-coast-seafoods-new-bedford:025:2026-08-17","manual","verified"
"Electric Services Department","","role_based","yes","Electric service inquiries","","","info@norwoodlight.com","781-948-1100","https://norwoodlight.com/about/","https://norwoodlight.com/about/","Norwood Municipal Light Department","About Norwood Municipal Light Department","2026-08-17","","5","official_organization_page","manual:round3:electric-services-department:026:2026-08-17","manual","verified"
"Teleflex LLC (Mansfield)","","role_based","yes","Mansfield facility","","","","508-964-6021","https://www.teleflexmedicaloem.com/get-to-know-us/facilities/","https://www.teleflexmedicaloem.com/get-to-know-us/facilities/","Teleflex Medical OEM","Facilities","2026-08-17","","4","official_organization_page","manual:round3:teleflex-llc-mansfield:027:2026-08-17","manual","verified"
"Shawmut Corporation - West Bridgewater","","role_based","yes","Global headquarters","","","","508-588-3300","https://shawmutcorporation.com/contact/","https://shawmutcorporation.com/contact/","Shawmut Corporation","Contact","2026-08-17","","4","contact_page","manual:round3:shawmut-corporation-west-bridgewater:028:2026-08-17","manual","verified"
"RISE Group, Inc. - DBA AirMasters","","role_based","yes","Main office","","","","508-672-7993","https://airmastershvac.com/","https://airmastershvac.com/","AirMasters HVAC","AirMasters HVAC","2026-08-17","","4","official_organization_page","manual:round3:rise-group-inc-dba-airmasters:029:2026-08-17","manual","verified"
"RISE Group, Inc. - DBA Thielsch Engineering, Inc.","","role_based","yes","Massachusetts office","","","","781-848-5184","https://cts.thielsch.com/about/hours_directions.aspx","https://cts.thielsch.com/about/hours_directions.aspx","Thielsch Engineering","Hours and Directions","2026-08-17","","4","contact_page","manual:round3:rise-group-inc-dba-thielsch-engineering-inc:030:2026-08-17","manual","verified"
"Harold Brothers Mechanical Contractors","","role_based","yes","Main office","","","info@haroldbros.com","781-871-2111","https://www.haroldbros.com/contact-us/","https://www.haroldbros.com/contact-us/","Harold Brothers Mechanical Contractors","Contact Us","2026-08-17","","4","contact_page","manual:round3:harold-brothers-mechanical-contractors:031:2026-08-17","manual","verified"
"Bay State Community Services Inc","","role_based","yes","General inquiries","","","","617-471-8400","https://www.baystatecs.org/contact-us/","https://www.baystatecs.org/contact-us/","Bay State Community Services","Contact Us","2026-08-17","","4","contact_page","manual:round3:bay-state-community-services-inc:032:2026-08-17","manual","verified"
"Saint Vincent's Services","","role_based","yes","General inquiries","","","info@stvservices.org","508-679-8511","https://saintvincentsservices.org/contact-us/","https://saintvincentsservices.org/contact-us/","Saint Vincent's Services","Contact Us","2026-08-17","","4","contact_page","manual:round3:saint-vincent-s-services:033:2026-08-17","manual","verified"
"Catholic Memorial Home","","role_based","yes","Main facility line","","","","508-679-0011","https://www.dhfo.org/our-communities/catholic-memorial-home/","https://www.dhfo.org/our-communities/catholic-memorial-home/","Diocesan Health Facilities","Catholic Memorial Home","2026-08-17","","4","official_organization_page","manual:round3:catholic-memorial-home:034:2026-08-17","manual","verified"
"St. Joseph Manor Healthcare","","role_based","yes","Main facility line","","","","508-583-5834","https://www.sjmbrockton.com/","https://www.sjmbrockton.com/","St. Joseph Manor Health Care","St. Joseph Manor Health Care","2026-08-17","","4","contact_page","manual:round3:st-joseph-manor-healthcare:035:2026-08-17","manual","verified"
"Victory Human Services, Inc.","","role_based","yes","General inquiries","","","afc@victoryhs.com","508-298-2534","https://www.victoryhs.com/pages/contact-human-services-agency-brockton-massachusetts","https://www.victoryhs.com/pages/contact-human-services-agency-brockton-massachusetts","Victory Human Services","Contact","2026-08-17","","4","contact_page","manual:round3:victory-human-services-inc:036:2026-08-17","manual","verified"
"Dennison Lubricants Inc","","role_based","yes","Corporate office","","","","800-564-5142","https://denlube.com/contact/","https://denlube.com/contact/","Dennison Lubricants","Contact","2026-08-17","","4","contact_page","manual:round3:dennison-lubricants-inc:037:2026-08-17","manual","verified"
"EMCOR Services Northeast","","role_based","yes","General inquiries","","","","781-573-1700","https://emcornortheast.com/","https://emcornortheast.com/","EMCOR Services Northeast","EMCOR Services Northeast","2026-08-17","","4","official_organization_page","manual:round3:emcor-services-northeast:038:2026-08-17","manual","verified"
"T&K Asphalt Services, INC","","role_based","yes","General inquiries","","","info@tkasphalt.com","877-852-7742","https://www.tkasphalt.com/contact-us/","https://www.tkasphalt.com/contact-us/","T&K Asphalt Services","Contact Us","2026-08-17","","4","contact_page","manual:round3:t-k-asphalt-services-inc:039:2026-08-17","manual","verified"
"United HVAC Company, Inc.","","role_based","yes","General inquiries","","","info@united-hvac.com","781-871-1060","https://united-hvac.com/contact/","https://united-hvac.com/contact/","United HVAC","Contact","2026-08-17","","4","contact_page","manual:round3:united-hvac-company-inc:040:2026-08-17","manual","verified"
"Pierce Refrigeration, inc.","","role_based","yes","General inquiries","","","","800-696-1088","https://piercerefrig.com/contact.php","https://piercerefrig.com/contact.php","Pierce Refrigeration","Contact","2026-08-17","","4","contact_page","manual:round3:pierce-refrigeration-inc:041:2026-08-17","manual","verified"
"ELECTRO SWITCH CORP.","","role_based","yes","Weymouth office","","","info@electroswitch.com","781-335-5200","https://www.electroswitch.com/office-locations","https://www.electroswitch.com/office-locations","Electroswitch","Office Locations","2026-08-17","","4","contact_page","manual:round3:electro-switch-corp:042:2026-08-17","manual","verified"
"JP Noonan Transportation, Inc.","","role_based","yes","West Bridgewater office","","","","508-588-8026","https://www.jpnoonan.com/locations/","https://www.jpnoonan.com/locations/","J.P. Noonan Transportation","Locations","2026-08-17","","4","contact_page","manual:round3:jp-noonan-transportation-inc:043:2026-08-17","manual","verified"
"COPIA SCIENTIFIC LLC","","role_based","yes","Headquarters","","","","877-267-4272","https://www.copiasci.com/contactus","https://www.copiasci.com/contactus","Copia Scientific","Contact Us","2026-08-17","","4","contact_page","manual:round3:copia-scientific-llc:044:2026-08-17","manual","verified"
"Prysmian Group Specialty Cables LLC (Taunton)","","role_based","yes","North America inquiries","","","","859-572-8000","https://na.prysmian.com/contact-us","https://na.prysmian.com/contact-us","Prysmian","Contact Us","2026-08-17","","4","contact_page","manual:round3:prysmian-group-specialty-cables-llc-taunton:045:2026-08-17","manual","verified"
"PAM Health Specialty Hospital of Stoughton","","role_based","yes","Main hospital line","","","","781-297-8200","https://pamhealth.com/hospitals/pam-health-specialty-hospital-of-stoughton/","https://pamhealth.com/hospitals/pam-health-specialty-hospital-of-stoughton/","PAM Health","PAM Health Specialty Hospital of Stoughton","2026-08-17","","4","official_organization_page","manual:round3:pam-health-specialty-hospital-of-stoughton:046:2026-08-17","manual","verified"
"Walsh Mechanical Contractors","","role_based","yes","Main office","","","","781-871-7496","https://www.smacnatri.org/verified-firms/","https://www.smacnatri.org/verified-firms/","SMACNA Testing & Research Institute","Verified Firms","2026-08-17","","3","official_organization_page","manual:round3:walsh-mechanical-contractors:047:2026-08-17","manual","verified"
"ROCHE BROS - BRIDGEWATER","","role_based","yes","Store main line","","","","508-697-5077","https://www.rochebros.com/location/bridgewater/","https://www.rochebros.com/location/bridgewater/","Roche Bros.","Bridgewater Store","2026-08-17","","4","contact_page","manual:round3:roche-bros-bridgewater:048:2026-08-17","manual","verified"
"The Arbors at Taunton","","role_based","yes","Taunton community","","","","508-217-9379","https://arborsassistedliving.com/locations/taunton/","https://arborsassistedliving.com/locations/taunton/","The Arbors Assisted Living","The Arbors at Taunton","2026-08-17","","4","official_organization_page","manual:round3:the-arbors-at-taunton:049:2026-08-17","manual","verified"
"All American Assisted Living- Hanson","","role_based","yes","Main community line","","","","781-447-4100","https://www.mass.gov/locations/all-american-assisted-living-at-hanson","https://www.mass.gov/locations/all-american-assisted-living-at-hanson","Commonwealth of Massachusetts","All American Assisted Living at Hanson","2026-08-17","","5","license","manual:round3:all-american-assisted-living-hanson:050:2026-08-17","manual","verified"
